OCC_TITLE	H_MEAN
Counselors, Social Workers, and Other Community and Social Service Specialists	30.28
Counselors	31.91
Educational, Guidance, and Career Counselors and Advisors	34.38
Marriage and Family Therapists	34.96
Rehabilitation Counselors	24.64
Substance Abuse, Behavioral Disorder, and Mental Health Counselors	31.30
Counselors, All Other	27.92
Social Workers	32.23
Child, Family, and School Social Workers	30.25
Healthcare Social Workers	34.63
Mental Health and Substance Abuse Social Workers	32.83
Social Workers, All Other	35.91
Miscellaneous Community and Social Service Specialists	26.18
Health Education Specialists	34.47
Probation Officers and Correctional Treatment Specialists	34.39
Social and Human Service Assistants	22.64
Community Health Workers	26.91
Community and Social Service Specialists, All Other	28.06
Religious Workers	30.94
Clergy	32.29
Clergy	32.29
Directors, Religious Activities and Education	31.27
Directors, Religious Activities and Education	31.27
Miscellaneous Religious Workers	23.96
Religious Workers, All Other	23.96
Legal Occupations	66.19
Lawyers, Judges, and Related Workers	85.37
Lawyers and Judicial Law Clerks	86.92
Lawyers	87.86
Judicial Law Clerks	33.58
Judges, Magistrates, and Other Judicial Workers	61.63
Administrative Law Judges, Adjudicators, and Hearing Officers	58.95
Arbitrators, Mediators, and Conciliators	43.83
Judges, Magistrate Judges, and Magistrates	68.80
Legal Support Workers	32.60
Paralegals and Legal Assistants	31.98
Paralegals and Legal Assistants	31.98
Miscellaneous Legal Support Workers	35.00
Title Examiners, Abstractors, and Searchers	28.65
Legal Support Workers, All Other	41.45
Educational Instruction and Library Occupations	31.69
Postsecondary Teachers	*
Business Teachers, Postsecondary	*
Business Teachers, Postsecondary	*
Math and Computer Science Teachers, Postsecondary	*
Computer Science Teachers, Postsecondary	*
Mathematical Science Teachers, Postsecondary	*
Engineering and Architecture Teachers, Postsecondary	*
Architecture Teachers, Postsecondary	*
Engineering Teachers, Postsecondary	*
Life Sciences Teachers, Postsecondary	*
Agricultural Sciences Teachers, Postsecondary	*
Biological Science Teachers, Postsecondary	*
Forestry and Conservation Science Teachers, Postsecondary	*
Physical Sciences Teachers, Postsecondary	*
Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary	*
Chemistry Teachers, Postsecondary	*
Environmental Science Teachers, Postsecondary	*
Physics Teachers, Postsecondary	*
Social Sciences Teachers, Postsecondary	*
Anthropology and Archeology Teachers, Postsecondary	*
Area, Ethnic, and Cultural Studies Teachers, Postsecondary	*
Economics Teachers, Postsecondary	*
Geography Teachers, Postsecondary	*
Political Science Teachers, Postsecondary	*
Psychology Teachers, Postsecondary	*
Sociology Teachers, Postsecondary	*
Social Sciences Teachers, Postsecondary, All Other	*
Health Teachers, Postsecondary	*
Health Specialties Teachers, Postsecondary	*
Nursing Instructors and Teachers, Postsecondary	*
Education and Library Science Teachers, Postsecondary	*
Education Teachers, Postsecondary	*
Library Science Teachers, Postsecondary	*
Law, Criminal Justice, and Social Work Teachers, Postsecondary	*
Criminal Justice and Law Enforcement Teachers, Postsecondary	*
Law Teachers, Postsecondary	*
Social Work Teachers, Postsecondary	*
Arts, Communications, History, and Humanities Teachers, Postsecondary	*
Art, Drama, and Music Teachers, Postsecondary	*
Communications Teachers, Postsecondary	*
English Language and Literature Teachers, Postsecondary	*
Foreign Language and Literature Teachers, Postsecondary	*
History Teachers, Postsecondary	*
Philosophy and Religion Teachers, Postsecondary	*
